source,name,native_id,master_team
opta,Amir Richardson,538786,Fiorentina
opta,David Odogu,571290,AC Milan
opta,Dro Fernández,619825,Barcelona
opta,Eliezer Mayenda,564406,Sunderland
opta,Fabio Baldé,576786,Hamburger SV
opta,Ferran Torres,224444,Barcelona
opta,Filip Jörgensen,508479,Chelsea
opta,Giovanni Reyna,427420,Borussia Monchengladbach
opta,Hamari Traoré,174528,Real Sociedad
opta,Julien Duranville,560114,Borussia Dortmund
opta,Karim Coulibaly,628995,Bremen
opta,Loïs Openda,235084,Juventus
opta,Luca Koleosho,487702,Espanyol
opta,Lucas Digne,101188,Aston Villa
opta,Neal Maupay,115382,Sevilla
opta,Stanis Idumbo,549946,Sevilla
opta,Zachary Athekame,622748,AC Milan
whoscored,Loïs Openda,363618,Juventus
whoscored,Filip Jörgensen,404749,Chelsea
whoscored,Zachary Athekame,499996,AC Milan
whoscored,Ferran Torres,349760,Barcelona
whoscored,Amir Richardson,455515,Fiorentina
whoscored,Giovanni Reyna,389087,Borussia Monchengladbach
whoscored,Luca Koleosho,438959,Espanyol
whoscored,Dro Fernández,572375,Barcelona
whoscored,Karim Coulibaly,554472,Bremen
whoscored,Eliezer Mayenda,494670,Sunderland
whoscored,Lucas Digne,89925,Aston Villa
whoscored,Neal Maupay,119822,Sevilla
whoscored,Fabio Baldé,535020,Hamburger SV
fotmob,Amir Richardson,1255860,Fiorentina
fotmob,Stanis Idumbo,1366936,Sevilla
fotmob,Neal Maupay,391064,Sevilla
fotmob,Giovanni Reyna,1071179,Borussia Monchengladbach
fotmob,Filip Jörgensen,1200984,Chelsea
fotmob,Fabio Baldé,1666019,Hamburger SV
fotmob,Loïs Openda,747767,Juventus
fotmob,Julien Duranville,1368304,Borussia Dortmund
fotmob,David Odogu,1469996,AC Milan
fotmob,Zachary Athekame,1595629,AC Milan
fotmob,Hamari Traoré,426892,Real Sociedad
fotmob,Luca Koleosho,1368318,Espanyol
fotmob,Eliezer Mayenda,1391052,Sunderland
fotmob,Karim Coulibaly,1643851,Bremen
fotmob,Lucas Digne,210111,Aston Villa
fotmob,Ferrán Torres,881771,Barcelona
fotmob,Dro Fernández,1682313,Barcelona
